player,miscontrol,miscontrol_under_pressure,pressure_rate,dispossessed,foul_committed,aerial_won,aerial_lost,aerial_win_pct,pressure_applied,minutes_approx,matches_played
Ayoub El Kaabi,24,3,0.12,5,8,1,43,2.3,257,385,10
Gelson Dany Batalha Martins,20,6,0.3,21,8,3,7,30.0,174,398,9
Daniel Castelo Podence,14,3,0.21,11,6,1,7,12.5,124,271,8
Mehdi Taremi,11,2,0.18,12,6,0,17,0.0,222,282,10
Francisco Leonel Lima Silva Machado,10,5,0.5,6,7,2,5,28.6,186,311,10
Francisco Gabriel Ortega,6,1,0.17,8,15,4,10,28.6,149,471,10
Santiago Hezze,5,0,0.0,4,14,6,14,30.0,208,385,9
Christos Mouzakitis,4,0,0.0,6,8,1,4,20.0,166,386,10
Gabriel Tadeu Strefezza Rebelato,3,2,0.67,2,6,1,2,33.3,30,65,4
Rodinei Marcelo de Almeida,3,0,0.0,7,1,2,3,40.0,127,407,8
João Pedro Loureiro da Costa,3,0,0.0,4,7,5,3,62.5,97,234,7
André Luiz Inácio da Silva,3,2,0.67,6,1,0,1,0.0,25,38,2
Panagiotis Retsos,2,0,0.0,4,9,2,6,25.0,91,394,9
Lorenzo Scipioni,2,1,0.5,1,2,1,1,50.0,36,59,6
Giulian Biancone,1,1,1.0,0,4,1,6,14.3,26,142,7
Sopuruchukwu Bruno Onyemaechi,1,0,0.0,1,2,2,1,66.7,26,48,5
Roman Yaremchuk,1,0,0.0,2,0,0,1,0.0,4,11,1
Alexandros Paschalakis,0,0,0.0,0,0,0,0,0.0,0,25,1
Daniel García Carrillo,0,0,0.0,0,10,1,3,25.0,91,208,8
Lorenzo Pirola,0,0,0.0,1,5,2,9,18.2,78,371,10
Stavros Pnevmonidis,0,0,0.0,1,0,0,0,0.0,8,13,1
Konstantinos Tzolakis,0,0,0.0,0,1,0,0,0.0,2,324,9
Diogo Andre Santos Nascimento,0,0,0.0,2,2,1,4,20.0,31,45,2
Clayton Fernandes Silva,0,0,0.0,0,0,0,0,0.0,0,1,1
