player,shots,goals,avg_shot_distance,avg_goal_distance,min_shot_distance,max_shot_distance,avg_xg
Ayoub El Kaabi,23,2,14.63,10.02,6.4,28.11,0.158
Gelson Dany Batalha Martins,17,3,16.72,14.41,11.35,22.78,0.053
Francisco Leonel Lima Silva Machado,14,1,22.23,20.88,11.67,32.4,0.066
Mehdi Taremi,10,2,12.39,13.0,7.64,17.95,0.154
Daniel Castelo Podence,9,0,20.92,,11.13,31.1,0.051
Christos Mouzakitis,6,0,27.6,,25.01,30.28,0.023
João Pedro Loureiro da Costa,6,1,18.81,6.5,6.5,28.95,0.066
Gabriel Tadeu Strefezza Rebelato,5,0,22.44,,15.77,32.21,0.06
Panagiotis Retsos,4,0,18.52,,7.86,28.36,0.05
Daniel García Carrillo,3,0,22.45,,17.96,26.42,0.038
Santiago Hezze,3,1,31.68,11.48,11.48,60.19,0.03
Francisco Gabriel Ortega,2,0,17.86,,16.91,18.81,0.032
Lorenzo Pirola,2,0,10.23,,9.98,10.48,0.08
Giulian Biancone,1,0,10.16,,10.16,10.16,0.049
Stavros Pnevmonidis,1,0,25.85,,25.85,25.85,0.03
